hdbscan_cluster,total_spend,order_frequency,weekend_shopper_ratio,avg_spend_per_order,cluster_size
6,67.25,2.0,0.0,33.625,1062
5,66.5,2.0,0.5,33.25,805
4,37.25,1.0,0.0,37.25,743
7,99.75,3.0,0.0,33.25,651
10,135.2,4.0,0.3333333333333333,33.8,617
1,172.6,5.0,0.2222222222222222,34.519999999999996,580
8,107.25,3.0,0.42857142857142855,35.75,527
2,32.5,1.0,1.0,32.5,397
0,215.55,6.0,0.25,34.19166666666666,360
11,134.75,4.0,0.0,33.6875,298
3,16.0,1.0,0.0,16.0,289
9,88.125,3.0,0.2,29.375,228
